"","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"gene-ACX60_RS00835_ACX60_RS00835",159.769951425165,171.142762550855,209.695101120084,170.826199780394,217.669815689213,229.193715908973
"gene-ACX60_RS00840_ACX60_RS00840",42.0052454451139,63.5380316057066,65.7518537410434,77.7745299813176,74.802939756974,91.2251303453478
"gene-ACX60_RS00845_guaB",9275.65830668354,8705.73513694319,7186.49990618323,9227.39244992632,5947.17066085852,7119.32980042248
"gene-ACX60_RS00850_glmM",2087.51067988843,2924.79906778527,3420.87347166239,3216.53234708449,2540.60435030443,2653.82197368285
"gene-ACX60_RS00855_pdxH",666.08317777252,733.761784349773,931.188415143426,974.959286551517,723.095084317415,738.094236430542
"gene-ACX60_RS00860_recJ",324.040464862307,291.045177032592,334.090500089626,311.09811992527,339.645780518152,352.083767531218
"gene-ACX60_RS00865_ACX60_RS00865",7139.39153833203,15464.3370472599,16859.1307146292,22955.9858225214,10097.7229668333,14374.3664063174
"gene-ACX60_RS00870_prfB",609.826152622814,542.122882571271,566.887603875482,680.527137336529,795.202422641705,841.382193928993
"gene-ACX60_RS00875_ACX60_RS00875",101.262645269471,109.654344867913,113.732936200724,106.939978724312,103.106754800153,92.7329837394858
"gene-ACX60_RS00880_ACX60_RS00880",284.285500423181,280.797107418768,307.434343167581,319.431105280412,266.864541835691,276.691097824319
"gene-ACX60_RS00885_ACX60_RS00885",313.539153501029,372.004926981799,458.485899059168,405.53862061687,390.188307380972,425.21465714691
"gene-ACX60_RS00890_ACX60_RS00890",72.7590858602865,100.431082215472,120.841244713269,97.218162476647,134.106171276016,135.706805472418
"gene-ACX60_RS00895_ACX60_RS00895",386.298239361315,376.104154827328,454.931744802895,349.985384915929,336.950179085468,318.157066163114
"gene-ACX60_RS00900_ACX60_RS00900",214.526789237546,189.589287855738,223.911718145175,184.714508705629,196.778904585913,185.465967478972
"gene-ACX60_RS00905_acs",4233.52866593255,2961.69211839503,2590.97845282274,2541.56053331806,6181.687985502,3897.04709714961
"gene-ACX60_RS00910_ACX60_RS00910",90.0112402395297,43.0418923780593,42.6498510752714,47.2202503458,39.0862207739143,30.1570678827596
"gene-ACX60_RS00915_ACX60_RS00915",34.5043087584864,30.744208841471,33.7644654345899,23.6101251729,44.4774236392818,44.4816751270704
