"","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"gene-ACX60_RS00865_ACX60_RS00865",16307.6587832695,6445.16326615465,19648.5474063777,10481.5797618286,11984.7278866252,3049.33411804616
"gene-ACX60_RS00870_prfB",647.773399774796,547.779255391266,718.440921536713,878.131668121821,870.267653357183,1290.90209256298
"gene-ACX60_RS00875_ACX60_RS00875",170.351243958834,97.6314047023888,178.595483319861,151.31983968992,177.821942702212,92.2072923259273
"gene-ACX60_RS00880_ACX60_RS00880",383.107518602701,280.224489832811,368.353184347213,392.001789432943,350.933370365955,337.66050710903
"gene-ACX60_RS00885_ACX60_RS00885",350.938184979573,351.771168087996,307.46836048817,384.852820628695,362.709657962128,453.244296080967
"gene-ACX60_RS00890_ACX60_RS00890",105.281455493872,76.0183456461348,55.8110885374565,150.128344889212,126.006277279051,135.064202843612
"gene-ACX60_RS00895_ACX60_RS00895",387.494245914945,371.893671347267,369.367931411531,353.873955810286,303.828219981263,351.946143948258
"gene-ACX60_RS00900_ACX60_RS00900",163.771152990467,201.970310491201,186.7134598344,226.384012134526,222.571835567669,181.817196135631
"gene-ACX60_RS00905_acs",1886.29274426521,2053.24061034413,1899.60650440216,5530.91886488669,3439.85360684213,819.476076868453
"gene-ACX60_RS00910_ACX60_RS00910",59.220818715303,55.1505644883723,46.6783649586,27.4043804162848,35.3288627885189,29.869967936568
"gene-ACX60_RS00915_ACX60_RS00915",44.5983943411541,42.4808402140165,27.3981707365696,45.2768024269053,44.7498928654573,44.1556047757962
"gene-ACX60_RS00920_sfnG",39.480545810202,49.9336191989317,49.7226061515522,63.1492244375258,55.348551702013,38.9608277433496
"gene-ACX60_RS00925_msuE",32.900454841835,26.0847264472031,38.5603884440609,46.4682972276133,47.1051503846919,41.5582162595729
"gene-ACX60_RS00930_ACX60_RS00930",660.93358171153,727.391228927721,744.824345208965,540.938639521447,628.853757635637,751.943975446647
"gene-ACX60_RS00935_ACX60_RS00935",2669.32356950088,5014.97497894942,2509.46949005691,1345.19762999937,912.662288703405,414.283468337617
"gene-ACX60_RS00940_ACX60_RS00940",773.526249392476,797.447351385924,920.375587335874,1236.77160313494,1182.33927465577,798.696968738666
"gene-ACX60_RS00945_ACX60_RS00945",134.52630424217,311.526161569454,138.005600747165,1725.28447142523,1045.73433854016,255.842768847996
"gene-ACX60_RS00950_ACX60_RS00950",1520.00101369278,1673.14888211346,1146.66418267865,19996.8572402829,13192.9749939926,2146.74160865856
"gene-ACX60_RS00955_ACX60_RS00955",210.562910987744,172.159194551541,181.639724512813,107.234532063723,121.295762240582,58.4412416150244
"gene-ACX60_RS00960_betT",7659.22588717919,8253.20744789507,9388.43983906451,2005.28574959162,2471.84276643671,924.670311775497
"gene-ACX60_RS00965_omp33-36",10460.1512760474,7642.07957113202,10823.2921880093,11421.6691595872,16011.0406157568,22307.6712715839
"gene-ACX60_RS00970_ACX60_RS00970",258.816911422435,172.159194551541,192.801942220304,264.511845757184,248.47966827925,275.32318271967
"gene-ACX60_RS00975_uvrA",2248.9288687441,1879.59085999561,2384.65560114587,1795.58266466701,2106.77785095535,1655.83517909236
"gene-ACX60_RS00980_ACX60_RS00980",182.049183458154,109.555851078253,258.760501400935,157.27731369346,158.979882548335,124.674648778719
"gene-ACX60_RS00985_ACX60_RS00985",652.16012708704,495.609802496859,783.384733653026,477.789415083922,485.183048962327,275.32318271967
"gene-ACX60_RS00990_ACX60_RS00990",49.7162428721062,55.1505644883723,69.0028003735826,30.9788648184089,47.1051503846919,23.3764966460097
"gene-ACX60_RS00995_ACX60_RS00995",60.6830611527179,66.3297329657451,85.2387534026609,53.6172660318615,50.6380366635438,36.3634392271263
"gene-ACX60_RS01000_tenA",136.719667898292,138.621689119422,140.0350948758,160.851798095585,200.196889134941,222.076718137093
"gene-ACX60_RS01005_ACX60_RS01005",957.768796506752,932.342651012889,939.655781557905,735.152292036857,877.333425914887,1693.49731257759
"gene-ACX60_RS01010_ACX60_RS01010",1068.16810053158,681.183999221247,1136.51671203548,994.898158591208,1126.99072295375,1081.81231700701
"gene-ACX60_RS01015_ssb",2014.97007875772,1597.87581436581,2181.70618828239,2207.83986571199,2274.001134821,2690.89450280734
"gene-ACX60_RS01020_ACX60_RS01020",25.5892426547605,23.8488927517286,22.3244354149826,42.8938128254892,40.0393778269881,25.973885162233
"gene-ACX60_RS01025_ACX60_RS01025",71.6498794333295,60.3675097778129,67.9880533092652,113.192006067263,143.67070867331,103.895540648932
"gene-ACX60_RS01030_ACX60_RS01030",42.4050306850318,40.9902844170335,51.752100280187,46.4682972276133,44.7498928654573,49.3503818082428
"gene-ACX60_RS01035_ACX60_RS01035",223.723092924478,304.073382584539,243.539295436174,312.171637785505,242.591524481163,154.544616715287
"gene-ACX60_RS01040_ACX60_RS01040",225.9164565806,250.41337389315,244.554042500491,280.001278166388,277.920387269682,336.361812850918
"gene-ACX60_RS01045_gabT",430.630397818685,163.215859769642,459.680420135778,263.320350956476,267.321728433127,150.648533940952
"gene-ACX60_RS01050_ACX60_RS01050",3240.32924131139,1995.10893426179,3520.15756611703,1794.3911698663,1984.30445995515,1005.18935577842
"gene-ACX60_RS01055_ACX60_RS01055",167.426759084005,191.53641991232,175.551242126909,179.915714906913,163.690397586804,174.025030586961
